单位配置ID;单位名称;单位描述;单位配置ID;单位名称;单位描述;模型;图标;类型;类别;分类1;分类2;分类3;星级;攻击（技能）;可视范围;人工智能;基础属性（json）;升级属性;强化属性+1;强化属性+2;强化属性+3;强化属性+4;强化属性+5;装备;技能
200027;hero_name_0027;hero_desc_0027;200027;hero_name_0027;hero_desc_0027;Netcut;icon_role_0027;1;1;3;2;1;4;300001;30;HeroBrain;{"hp":426,"mp":0, "maxHp":426,"maxMp":100,"damage":54,"defend":33,"magicDamage":34,"magicDefend":24,"critValue":44,"dodgeValue":44,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":26};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100001,100002,100003,100004,100005,100006]],[2,[100007,100008,100009,100010,100011,100012]],[3,[100013,100014,100015,100001,100001,100001]],[4,[100001,1000001,1000001,100001,100001,100001]],[5,[100001,1000001,1000001,100001,100001,100001]],[6,[100001,1000001,1000001,100001,100001,100001]],[7,[100001,1000001,1000001,100001,100001,100001]],[8,[100001,1000001,1000001,100001,100001,100001]],[9,[100001,1000001,1000001,100001,100001,100001]],[10,[100001,1000001,1000001,100001,100001,100001]]];[300001,0,0,0,0]
200028;hero_name_0028;hero_desc_0028;200028;hero_name_0028;hero_desc_0028;Mermaid;icon_role_0028;1;1;3;3;2;3;300001;30;HeroBrain;{"hp":294,"mp":0, "maxHp":294,"maxMp":100,"damage":26,"defend":20,"magicDamage":52,"magicDefend":37,"critValue":19,"dodgeValue":19,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":27};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100061,100062,100063,100064,100065,100066]],[2,[100067,100068,100069,100070,100071,100072]],[3,[100073,100074,100075,100076,100077,100078]],[4,[100079,100080,100081,100082,100083,100084]],[5,[100085,100086,100087,100088,100089,100090]],[6,[100091,100092,100093,100094,100095,100096]],[7,[100097,100098,100099,100100,100101,100102]],[8,[100103,100104,100105,100106,100107,100108]],[9,[100109,100110,100111,100112,100113,100114]],[10,[100115,100116,100117,100118,100119,100120]]];[300001,0,0,0,0]
200029;hero_name_0029;hero_desc_0029;200029;hero_name_0029;hero_desc_0029;Spidergirl;icon_role_0029;1;1;3;3;1;5;300001;30;HeroBrain;{"hp":985,"mp":0, "maxHp":985,"maxMp":100,"damage":43,"defend":49,"magicDamage":36,"magicDefend":27,"critValue":27,"dodgeValue":27,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":28};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100001,100002,100003,100004,100005,100006]],[2,[100007,100008,100009,100010,100011,100012]],[3,[100013,100014,100015,100001,100001,100001]],[4,[100001,1000001,1000001,100001,100001,100001]],[5,[100001,1000001,1000001,100001,100001,100001]],[6,[100001,1000001,1000001,100001,100001,100001]],[7,[100001,1000001,1000001,100001,100001,100001]],[8,[100001,1000001,1000001,100001,100001,100001]],[9,[100001,1000001,1000001,100001,100001,100001]],[10,[100001,1000001,1000001,100001,100001,100001]]];[300001,0,0,0,0]
200030;hero_name_0030;hero_desc_0030;200030;hero_name_0030;hero_desc_0030;Woodson;icon_role_0030;1;1;3;2;3;2;300002;30;HeroBrain;{"hp":285,"mp":0, "maxHp":285,"maxMp":100,"damage":24,"defend":19,"magicDamage":47,"magicDefend":34,"critValue":17,"dodgeValue":17,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":29};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100121,100122,100123,100124,100125,100126]],[2,[100127,100128,100129,100130,100131,100132]],[3,[100133,100134,100135,100136,100137,100138]],[4,[100139,100140,100141,100142,100143,100144]],[5,[100145,100146,100147,100148,100149,100150]],[6,[100151,100152,100153,100154,100155,100156]],[7,[100157,100158,100159,100160,100161,100162]],[8,[100163,100164,100165,100166,100167,100168]],[9,[100169,100170,100171,100172,100173,100174]],[10,[100175,100176,100177,100178,100179,100180]]];[300002,0,0,0,0]
200031;hero_name_0031;hero_desc_0031;200031;hero_name_0031;hero_desc_0031;Snowgirl;icon_role_0031;1;1;3;1;2;3;300001;30;HeroBrain;{"hp":379,"mp":0, "maxHp":379,"maxMp":100,"damage":46,"defend":28,"magicDamage":27,"magicDefend":19,"critValue":37,"dodgeValue":37,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":30};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100061,100062,100063,100064,100065,100066]],[2,[100067,100068,100069,100070,100071,100072]],[3,[100073,100074,100075,100076,100077,100078]],[4,[100079,100080,100081,100082,100083,100084]],[5,[100085,100086,100087,100088,100089,100090]],[6,[100091,100092,100093,100094,100095,100096]],[7,[100097,100098,100099,100100,100101,100102]],[8,[100103,100104,100105,100106,100107,100108]],[9,[100109,100110,100111,100112,100113,100114]],[10,[100115,100116,100117,100118,100119,100120]]];[300001,0,0,0,0]
200032;hero_name_0032;hero_desc_0032;200032;hero_name_0032;hero_desc_0032;FishMain;icon_role_0032;1;1;3;3;1;4;300001;30;HeroBrain;{"hp":445,"mp":0, "maxHp":445,"maxMp":100,"damage":55,"defend":34,"magicDamage":33,"magicDefend":24,"critValue":45,"dodgeValue":45,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":31};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100001,100002,100003,100004,100005,100006]],[2,[100007,100008,100009,100010,100011,100012]],[3,[100013,100014,100015,100001,100001,100001]],[4,[100001,1000001,1000001,100001,100001,100001]],[5,[100001,1000001,1000001,100001,100001,100001]],[6,[100001,1000001,1000001,100001,100001,100001]],[7,[100001,1000001,1000001,100001,100001,100001]],[8,[100001,1000001,1000001,100001,100001,100001]],[9,[100001,1000001,1000001,100001,100001,100001]],[10,[100001,1000001,1000001,100001,100001,100001]]];[300001,0,0,0,0]
200033;hero_name_0033;hero_desc_0033;200033;hero_name_0033;hero_desc_0033;Ghostspider;icon_role_0033;1;1;3;1;4;1;300002;30;HeroBrain;{"hp":284,"mp":0, "maxHp":284,"maxMp":100,"damage":33,"defend":21,"magicDamage":20,"magicDefend":14,"critValue":26,"dodgeValue":26,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":32};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100181,100122,100123,100124,100125,100126]],[2,[100182,100128,100129,100130,100131,100132]],[3,[100183,100134,100135,100136,100137,100138]],[4,[100184,100140,100141,100142,100143,100144]],[5,[100185,100146,100147,100148,100149,100150]],[6,[100186,100152,100153,100154,100155,100156]],[7,[100187,100158,100159,100160,100161,100162]],[8,[100188,100164,100165,100166,100167,100168]],[9,[100189,100170,100171,100172,100173,100174]],[10,[100190,100176,100177,100178,100179,100180]]];[300002,0,0,0,0]
200034;hero_name_0034;hero_desc_0034;200034;hero_name_0034;hero_desc_0034;Snowgirl;icon_role_0034;1;1;3;1;4;2;300002;30;HeroBrain;{"hp":301,"mp":0, "maxHp":301,"maxMp":100,"damage":40,"defend":24,"magicDamage":25,"magicDefend":18,"critValue":33,"dodgeValue":33,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":33};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100181,100122,100123,100124,100125,100126]],[2,[100182,100128,100129,100130,100131,100132]],[3,[100183,100134,100135,100136,100137,100138]],[4,[100184,100140,100141,100142,100143,100144]],[5,[100185,100146,100147,100148,100149,100150]],[6,[100186,100152,100153,100154,100155,100156]],[7,[100187,100158,100159,100160,100161,100162]],[8,[100188,100164,100165,100166,100167,100168]],[9,[100189,100170,100171,100172,100173,100174]],[10,[100190,100176,100177,100178,100179,100180]]];[300002,0,0,0,0]
200035;hero_name_0035;hero_desc_0035;200035;hero_name_0035;hero_desc_0035;Snowgirl;icon_role_0035;1;1;3;1;2;5;300001;30;HeroBrain;{"hp":464,"mp":0, "maxHp":464,"maxMp":100,"damage":41,"defend":31,"magicDamage":78,"magicDefend":56,"critValue":29,"dodgeValue":29,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":34};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100061,100062,100063,100064,100065,100066]],[2,[100067,100068,100069,100070,100071,100072]],[3,[100073,100074,100075,100076,100077,100078]],[4,[100079,100080,100081,100082,100083,100084]],[5,[100085,100086,100087,100088,100089,100090]],[6,[100091,100092,100093,100094,100095,100096]],[7,[100097,100098,100099,100100,100101,100102]],[8,[100103,100104,100105,100106,100107,100108]],[9,[100109,100110,100111,100112,100113,100114]],[10,[100115,100116,100117,100118,100119,100120]]];[300001,0,0,0,0]
200036;hero_name_0036;hero_desc_0036;200036;hero_name_0036;hero_desc_0036;Snowgirl;icon_role_0036;1;1;3;3;1;1;300001;30;HeroBrain;{"hp":508,"mp":0, "maxHp":508,"maxMp":100,"damage":23,"defend":25,"magicDamage":19,"magicDefend":14,"critValue":15,"dodgeValue":15,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":35};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100001,100002,100003,100004,100005,100006]],[2,[100007,100008,100009,100010,100011,100012]],[3,[100013,100014,100015,100001,100001,100001]],[4,[100001,1000001,1000001,100001,100001,100001]],[5,[100001,1000001,1000001,100001,100001,100001]],[6,[100001,1000001,1000001,100001,100001,100001]],[7,[100001,1000001,1000001,100001,100001,100001]],[8,[100001,1000001,1000001,100001,100001,100001]],[9,[100001,1000001,1000001,100001,100001,100001]],[10,[100001,1000001,1000001,100001,100001,100001]]];[300001,0,0,0,0]
200037;hero_name_0037;hero_desc_0037;200037;hero_name_0037;hero_desc_0037;Snowgirl;icon_role_0037;1;1;3;3;2;5;300001;30;HeroBrain;{"hp":987,"mp":0, "maxHp":987,"maxMp":100,"damage":44,"defend":49,"magicDamage":36,"magicDefend":28,"critValue":28,"dodgeValue":28,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":36};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100061,100062,100063,100064,100065,100066]],[2,[100067,100068,100069,100070,100071,100072]],[3,[100073,100074,100075,100076,100077,100078]],[4,[100079,100080,100081,100082,100083,100084]],[5,[100085,100086,100087,100088,100089,100090]],[6,[100091,100092,100093,100094,100095,100096]],[7,[100097,100098,100099,100100,100101,100102]],[8,[100103,100104,100105,100106,100107,100108]],[9,[100109,100110,100111,100112,100113,100114]],[10,[100115,100116,100117,100118,100119,100120]]];[300001,0,0,0,0]
200038;hero_name_0038;hero_desc_0038;200038;hero_name_0038;hero_desc_0038;Snowgirl;icon_role_0038;1;1;3;3;1;2;300001;30;HeroBrain;{"hp":573,"mp":0, "maxHp":573,"maxMp":100,"damage":28,"defend":29,"magicDamage":22,"magicDefend":17,"critValue":18,"dodgeValue":18,"speed":2.5,"attackSpeed":1,"turnSpeed":365,"rangeVisible":10};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":37};{"hp":40,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":0};{"hp":42,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":1};{"hp":44,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":2};{"hp":46,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":3};{"hp":48,"mp":0, "maxHp":40,"maxMp":0,"damage":3,"defend":2,"magicDamage":3,"magicDefend":2,"critValue":2,"dodgeValue":2,"speed":0,"attackSpeed":0,"turnSpeed":0,"rangeVisible":4};[[1,[100001,100002,100003,100004,100005,100006]],[2,[100007,100008,100009,100010,100011,100012]],[3,[100013,100014,100015,100001,100001,100001]],[4,[100001,1000001,1000001,100001,100001,100001]],[5,[100001,1000001,1000001,100001,100001,100001]],[6,[100001,1000001,1000001,100001,100001,100001]],[7,[100001,1000001,1000001,100001,100001,100001]],[8,[100001,1000001,1000001,100001,100001,100001]],[9,[100001,1000001,1000001,100001,100001,100001]],[10,[100001,1000001,1000001,100001,100001,100001]]];[300001,0,0,0,0]
